Fecha_Hora,Precio_BTC,Prediccion_LSTM,Porcentaje_error_LSTM,Mercado_LSTM,Prediccion_ARIMA,Porcentaje_error_ARIMA,Mercado_ARIMA,SMA_20,SMA_50,EMA_20,EMA_50,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,SAR
2025-05-19 20:00:46,105545.47,103400.34,0.00,Baja,105535.70,0.00,Baja,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-19 21:00:46,105477.02,103557.52,1.97,Baja,105506.63,0.06,Sube,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-19 22:00:54,105456.77,103717.76,1.80,Baja,105472.48,0.05,Sube,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-19 23:00:52,105556.48,103877.60,1.74,Baja,105541.49,0.08,Baja,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-20 00:01:33,105554.39,104028.80,1.59,Baja,105559.01,0.01,Sube,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-20 01:02:38,105855.65,104179.63,1.73,Baja,105853.78,0.28,Baja,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-20 02:01:57,106513.44,104356.11,2.19,Baja,106504.82,0.62,Baja,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-20 03:01:31,106088.78,104500.69,1.63,Baja,106122.44,0.39,Sube,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-20 04:01:00,105804.64,104626.10,1.23,Baja,105812.66,0.30,Sube,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-20 05:01:21,106201.96,104761.80,1.48,Baja,106195.80,0.37,Baja,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
