Fecha_Hora,Precio_BTC,Prediccion_LSTM,Porcentaje_error_LSTM,Mercado_LSTM,Prediccion_ARIMA,Porcentaje_error_ARIMA,Mercado_ARIMA,SMA_20,SMA_50,EMA_20,EMA_50,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,SAR
2025-05-22 16:00:54,111280.47,107650.14,0.00,Baja,111339.11,0.00,Sube,110386.94,108344.30,110118.26,108667.01,56.52,699.93,801.36,-101.42,112730.20,110386.94,108043.67,0.04,298651.84
2025-05-22 17:00:51,111261.22,107718.15,3.25,Baja,111286.64,0.07,Sube,110525.95,108461.28,110222.22,108766.90,56.41,705.42,781.44,-76.03,112711.45,110525.95,108340.46,0.04,293678.80
2025-05-22 18:00:48,111509.56,107821.04,3.40,Baja,111495.64,0.20,Baja,110676.76,108592.16,110366.08,108883.46,57.31,740.22,776.35,-36.12,112756.60,110676.76,108596.92,0.04,288805.23
2025-05-22 19:00:50,111760.00,107938.87,3.52,Baja,111762.10,0.24,Sube,110794.98,108707.60,110520.42,109005.52,58.24,779.05,780.09,-1.04,112889.74,110794.98,108700.21,0.04,284029.12
2025-05-22 20:00:48,111166.77,107982.82,2.90,Baja,111173.84,0.54,Sube,110821.42,108809.99,110516.52,109061.66,55.07,690.82,752.54,-61.71,112838.11,110821.42,108804.73,0.04,273667.96
2025-05-22 21:00:53,110998.00,108015.08,2.72,Baja,110998.73,0.16,Sube,110870.97,108886.90,110553.15,109133.68,54.28,641.25,728.91,-87.67,112841.02,110870.97,108900.91,0.04,263721.24
2025-05-22 22:01:18,110912.97,108021.64,2.61,Baja,110916.01,0.08,Sube,110887.89,108964.08,110576.61,109198.27,53.81,587.28,698.99,-111.70,112847.87,110887.89,108927.92,0.04,254172.39
2025-05-22 23:01:00,111033.53,108030.75,2.71,Baja,111013.42,0.11,Baja,110859.18,109054.62,110629.80,109273.97,54.39,562.68,673.16,-110.48,112784.69,110859.18,108933.67,0.03,245005.49
2025-05-23 00:01:43,111636.37,108089.67,3.23,Baja,111639.50,0.56,Sube,110899.19,109164.88,110782.87,109392.27,57.18,618.95,670.79,-51.84,112867.51,110899.19,108930.87,0.04,236205.27
2025-05-23 01:01:49,111624.28,108137.35,3.17,Baja,111629.34,0.01,Sube,110930.65,109261.07,110859.09,109478.10,57.06,610.73,658.20,-47.47,112921.12,110930.65,108940.18,0.04,227757.06
2025-05-23 02:02:27,111336.64,108164.64,2.87,Baja,111333.11,0.26,Baja,110956.99,109347.17,110879.01,109539.54,55.19,558.96,634.57,-75.61,112929.97,110956.99,108984.01,0.04,219646.78
2025-05-23 03:01:34,111274.14,108186.36,2.79,Baja,111267.44,0.05,Baja,110964.78,109441.74,110911.13,109604.93,54.77,521.64,611.17,-89.52,112940.06,110964.78,108989.51,0.04,211860.91
2025-05-23 04:01:23,111087.00,108187.72,2.61,Baja,111091.95,0.16,Sube,110987.66,109523.04,110913.84,109657.74,53.42,465.48,579.95,-114.46,112946.77,110987.66,109028.55,0.04,204386.47
2025-05-23 05:01:41,110844.22,108163.35,2.40,Baja,110852.91,0.22,Sube,110978.15,109597.74,110885.57,109694.06,51.65,391.54,539.06,-147.52,112936.76,110978.15,109019.55,0.04,197211.01
2025-05-23 06:01:30,110826.11,108137.50,2.40,Baja,110829.95,0.02,Sube,110977.93,109666.32,110878.35,109738.74,51.51,342.28,499.47,-157.19,112936.58,110977.93,109019.28,0.04,190322.57
2025-05-23 07:01:23,110550.00,108082.80,2.18,Baja,110546.08,0.25,Baja,110938.94,109719.21,110817.30,109757.56,49.41,257.61,446.69,-189.08,112916.75,110938.94,108961.14,0.04,183709.67
2025-05-23 08:01:04,110745.38,108059.57,2.40,Baja,110739.96,0.18,Baja,110910.45,109783.06,110832.89,109805.63,50.88,241.55,408.99,-167.44,112861.85,110910.45,108959.06,0.04,177361.28
2025-05-23 09:01:33,110934.94,108050.29,2.59,Baja,110943.63,0.18,Sube,111121.32,109874.75,110858.97,109856.82,52.41,236.76,376.96,-140.21,111769.37,111121.32,110473.28,0.01,171266.83
2025-05-23 10:01:23,111335.02,108078.07,2.95,Baja,111345.33,0.35,Sube,111163.94,109981.92,110938.78,109930.35,55.51,274.99,361.67,-86.68,111806.31,111163.94,110521.57,0.01,165416.16
2025-05-23 11:01:40,111036.32,108082.86,2.66,Baja,111016.52,0.28,Baja,111138.51,110073.01,110924.48,109962.87,52.73,236.13,333.07,-96.95,111776.69,111138.51,110500.33,0.01,159799.51
2025-05-23 12:01:36,108758.00,107913.45,0.62,Baja,108786.67,2.08,Sube,110922.71,110084.59,110558.71,109845.78,37.28,-75.61,227.72,-303.33,112376.41,110922.71,109469.00,0.03,154407.53
2025-05-23 13:02:20,108287.20,107714.93,0.35,Baja,108321.03,0.46,Sube,110742.29,110112.14,110308.98,109769.93,35.00,-264.78,124.27,-389.05,112657.86,110742.29,108826.72,0.03,149231.23
2025-05-23 14:01:07,109799.95,107632.86,1.90,Baja,109666.63,1.35,Baja,110711.43,110203.96,110376.20,109821.60,46.24,-182.36,80.08,-262.45,112347.89,110711.43,109074.97,0.03,144261.98
2025-05-23 15:01:28,109810.06,107548.85,1.98,Baja,109816.86,0.13,Sube,110647.54,110249.75,110314.75,109817.60,46.35,-204.22,22.11,-226.33,112333.03,110647.54,108962.04,0.03,139491.50
2025-05-23 16:01:29,109066.42,107431.16,1.39,Baja,109038.83,0.69,Baja,110515.47,110239.41,110140.02,109762.89,41.91,-312.78,-53.14,-259.64,112396.48,110515.47,108634.46,0.03,134911.84
2025-05-23 17:00:53,109074.27,107341.50,1.51,Baja,109088.57,0.03,Sube,110424.50,110240.98,110036.70,109735.88,42.03,-354.45,-113.67,-240.78,112401.20,110424.50,108447.80,0.04,130515.37
2025-05-23 18:00:50,109366.19,107297.27,1.85,Baja,109427.85,0.25,Sube,110359.79,110251.41,110004.28,109735.49,44.45,-335.98,-153.48,-182.50,112327.53,110359.79,108392.05,0.04,126294.75
2025-05-23 19:00:54,108793.18,107194.78,1.38,Baja,108783.77,0.58,Baja,110186.34,110285.27,109840.26,109677.49,41.02,-420.98,-214.19,-206.79,112229.13,110186.34,108143.54,0.04,123994.68
