Fecha_Hora,Precio_BTC,Prediccion_BTC,Porcentaje_error,Mercado
2025-05-19 20:00:46,105545.47,103400.34,0.00,Baja
2025-05-19 21:00:45,105477.02,103557.52,1.97,Baja
2025-05-19 22:00:54,105456.77,103717.76,1.80,Baja
2025-05-19 23:00:52,105556.48,103877.60,1.74,Baja
2025-05-20 00:01:33,105554.39,104028.80,1.59,Baja
2025-05-20 01:02:38,105855.65,104179.62,1.73,Baja
2025-05-20 02:01:56,106513.44,104356.11,2.19,Baja
2025-05-20 03:01:29,106087.83,104500.69,1.63,Baja
2025-05-20 04:01:00,105804.64,104626.10,1.23,Baja
2025-05-20 05:01:08,106201.97,104761.80,1.48,Baja
2025-05-20 06:01:30,106116.47,104875.27,1.28,Baja
2025-05-20 07:00:59,105499.92,104943.77,0.59,Baja
2025-05-20 08:00:54,105045.45,104975.64,0.10,Baja
2025-05-20 09:00:58,105152.58,104992.95,0.17,Baja
2025-05-20 10:00:51,105294.46,104995.25,0.29,Baja
2025-05-20 11:00:54,105031.05,104969.01,0.03,Baja
2025-05-20 12:01:21,105193.06,104943.51,0.21,Baja
2025-05-20 13:01:57,104780.01,104887.30,0.16,Sube
2025-05-20 14:01:20,104407.01,104810.10,0.46,Sube
2025-05-20 15:01:34,104502.62,104732.52,0.29,Sube
2025-05-20 16:01:01,105354.26,104694.09,0.59,Baja
2025-05-20 17:00:58,105218.59,104647.94,0.50,Baja
2025-05-20 18:00:43,106233.17,104671.80,1.49,Baja
2025-05-20 19:00:44,105282.62,104654.87,0.58,Baja
2025-05-20 20:00:41,106959.99,104754.67,2.16,Baja
2025-05-20 21:00:45,106904.77,104854.84,2.01,Baja
2025-05-20 22:00:50,106662.49,104962.47,1.69,Baja
2025-05-20 23:00:48,106780.22,105089.79,1.70,Baja
2025-05-21 00:01:45,106804.42,105218.11,1.61,Baja
2025-05-21 01:02:23,106707.83,105340.23,1.40,Baja
2025-05-21 02:01:43,106508.90,105443.42,1.10,Baja
2025-05-21 03:01:18,106872.00,105555.89,1.34,Baja
2025-05-21 04:01:28,106839.84,105653.77,1.20,Baja
2025-05-21 05:01:10,107383.66,105772.66,1.61,Baja
2025-05-21 06:01:09,107548.64,105892.46,1.65,Baja
2025-05-21 07:01:00,107779.92,106023.88,1.75,Baja
2025-05-21 08:00:56,106458.77,106082.82,0.41,Baja
2025-05-21 09:01:26,106396.64,106132.00,0.29,Baja
2025-05-21 10:00:52,106215.95,106146.95,0.08,Baja
2025-05-21 11:01:06,106302.53,106147.34,0.15,Baja
2025-05-21 12:01:26,106501.48,106139.97,0.33,Baja
2025-05-21 13:02:07,106574.89,106125.00,0.41,Baja
2025-05-21 14:01:19,107436.65,106153.42,1.22,Baja
2025-05-21 15:01:00,108935.61,106265.41,2.55,Baja
2025-05-21 16:00:52,109004.01,106394.44,2.51,Baja
2025-05-21 17:00:50,109186.82,106564.48,2.56,Baja
2025-05-21 18:00:47,106540.80,106606.67,0.02,Sube
2025-05-21 19:00:47,106956.76,106679.32,0.33,Baja
2025-05-21 20:00:45,108664.29,106816.00,1.83,Baja
2025-05-21 21:00:49,108145.21,106899.71,1.23,Baja
2025-05-21 22:00:55,108414.65,107001.91,1.40,Baja
2025-05-21 23:00:53,108738.43,107115.28,1.60,Baja
2025-05-22 00:01:54,109530.96,107272.99,2.21,Baja
2025-05-22 01:01:47,110035.30,107449.79,2.51,Baja
2025-05-22 02:02:14,109961.64,107629.66,2.28,Baja
2025-05-22 03:01:32,110478.64,107844.94,2.58,Baja
2025-05-22 04:01:41,111623.63,108126.78,3.39,Baja
2025-05-22 05:01:35,111462.36,108399.77,2.99,Baja
2025-05-22 06:01:26,110872.97,108650.30,2.23,Baja
2025-05-22 07:01:28,110586.19,108873.41,1.75,Baja
2025-05-22 08:00:53,111127.06,109102.21,2.03,Baja
2025-05-22 09:01:26,110350.01,109265.78,1.13,Baja
2025-05-22 10:01:01,110786.22,109430.62,1.37,Baja
2025-05-22 11:01:35,110828.47,109565.68,1.26,Baja
2025-05-22 12:01:28,110986.59,109688.88,1.28,Baja
2025-05-22 13:01:52,111551.72,109826.17,1.67,Baja
2025-05-22 14:01:02,110950.20,109763.77,1.01,Baja
2025-05-22 15:01:02,110880.16,109770.70,1.01,Baja
2025-05-22 16:00:53,111280.47,109803.20,1.36,Baja
2025-05-22 17:00:50,111261.22,109840.73,1.31,Baja
2025-05-22 18:00:48,111509.56,109905.19,1.50,Baja
2025-05-22 19:00:51,111760.00,109993.34,1.66,Baja
2025-05-22 20:00:48,111173.92,110051.67,1.06,Baja
2025-05-22 21:00:53,110998.00,110112.77,0.85,Baja
2025-05-22 22:01:09,110912.89,110161.10,0.72,Baja
2025-05-22 23:00:59,111020.93,110207.15,0.77,Baja
2025-05-23 00:01:42,111636.37,110279.78,1.28,Baja
2025-05-23 01:01:48,111624.28,110343.20,1.20,Baja
2025-05-23 02:02:26,111336.64,110393.27,0.89,Baja
2025-05-23 03:01:34,111274.14,110439.58,0.79,Baja
2025-05-23 04:01:20,111086.49,110470.42,0.58,Baja
2025-05-23 05:01:42,110844.22,110479.99,0.34,Baja
2025-05-23 06:01:30,110826.11,110479.47,0.31,Baja
2025-05-23 07:01:21,110550.00,110450.62,0.06,Baja
2025-05-23 08:01:01,110745.38,110428.30,0.27,Baja
2025-05-23 09:01:32,110934.94,110406.99,0.46,Baja
2025-05-23 10:01:06,111335.02,110405.79,0.83,Baja
2025-05-23 11:01:36,111036.32,110392.04,0.57,Baja
2025-05-23 12:01:35,108758.00,110276.58,1.50,Sube
2025-05-23 13:02:14,108287.20,110130.44,1.84,Sube
2025-05-23 14:01:07,109799.95,110023.99,0.30,Sube
2025-05-23 15:01:27,109810.06,109898.04,0.19,Sube
2025-05-23 16:01:27,109066.42,109741.65,0.76,Sube
